data_size,num_blocks,num_threads,enough_shmem,use_padded_shmem,duration
1000000000,1088,64,0,0,9515
1000000000,2176,64,0,0,9217
1000000000,4352,64,0,0,8851
1000000000,8704,64,0,0,8500
1000000000,17408,64,0,0,8373
1000000000,34816,64,0,0,9130
1000000000,69632,64,0,0,8779
1000000000,139264,64,0,0,8879
1000000000,278528,64,0,0,9224
1000000000,557056,64,0,0,10863
1000000000,1114112,64,0,0,16044
1000000000,2228224,64,0,0,27022
1000000000,4456448,64,0,0,48082
1000000000,8912896,64,0,0,88227
1000000000,544,128,0,0,8210
1000000000,1088,128,0,0,7945
1000000000,2176,128,0,0,7827
1000000000,4352,128,0,0,8310
1000000000,8704,128,0,0,8356
1000000000,17408,128,0,0,7978
1000000000,34816,128,0,0,8204
1000000000,69632,128,0,0,8543
1000000000,139264,128,0,0,9846
1000000000,278528,128,0,0,9748
1000000000,557056,128,0,0,15250
1000000000,1114112,128,0,0,25870
1000000000,2228224,128,0,0,46419
1000000000,4456448,128,0,0,86612
1000000000,272,256,0,0,8552
1000000000,544,256,0,0,7591
1000000000,1088,256,0,0,7515
1000000000,2176,256,0,0,7544
1000000000,4352,256,0,0,7613
1000000000,8704,256,0,0,8510
1000000000,17408,256,0,0,8369
1000000000,34816,256,0,0,8389
1000000000,69632,256,0,0,8744
1000000000,139264,256,0,0,10034
1000000000,278528,256,0,0,14141
1000000000,557056,256,0,0,24593
1000000000,1114112,256,0,0,44977
1000000000,2228224,256,0,0,85187
1000000000,136,512,0,0,7438
1000000000,272,512,0,0,8186
1000000000,544,512,0,0,7668
1000000000,1088,512,0,0,7389
1000000000,2176,512,0,0,7465
1000000000,4352,512,0,0,7599
1000000000,8704,512,0,0,8467
1000000000,17408,512,0,0,8706
1000000000,34816,512,0,0,8634
1000000000,69632,512,0,0,9384
1000000000,139264,512,0,0,13765
1000000000,278528,512,0,0,24097
1000000000,557056,512,0,0,44767
1000000000,1114112,512,0,0,84898
1000000000,68,1024,0,0,7698
1000000000,136,1024,0,0,7430
1000000000,272,1024,0,0,7419
1000000000,544,1024,0,0,7992
1000000000,1088,1024,0,0,7726
1000000000,2176,1024,0,0,7677
1000000000,4352,1024,0,0,7902
1000000000,8704,1024,0,0,9250
1000000000,17408,1024,0,0,8690
1000000000,34816,1024,0,0,9469
1000000000,69632,1024,0,0,13302
1000000000,139264,1024,0,0,23421
1000000000,278528,1024,0,0,43539
1000000000,557056,1024,0,0,82977
2000000000,1088,64,0,0,20252
2000000000,2176,64,0,0,18333
2000000000,4352,64,0,0,17737
2000000000,8704,64,0,0,17263
2000000000,17408,64,0,0,17028
2000000000,34816,64,0,0,17025
2000000000,69632,64,0,0,17208
2000000000,139264,64,0,0,17423
2000000000,278528,64,0,0,17809
2000000000,557056,64,0,0,18455
2000000000,1114112,64,0,0,20143
2000000000,2228224,64,0,0,32059
2000000000,4456448,64,0,0,53995
2000000000,8912896,64,0,0,95878
2000000000,17825792,64,0,0,175959
2000000000,544,128,0,0,16852
2000000000,1088,128,0,0,16196
2000000000,2176,128,0,0,15807
2000000000,4352,128,0,0,15634
2000000000,8704,128,0,0,15676
2000000000,17408,128,0,0,15672
2000000000,34816,128,0,0,15911
2000000000,69632,128,0,0,16395
2000000000,139264,128,0,0,17066
2000000000,278528,128,0,0,17834
2000000000,557056,128,0,0,19213
2000000000,1114112,128,0,0,30472
2000000000,2228224,128,0,0,51643
2000000000,4456448,128,0,0,92703
2000000000,8912896,128,0,0,172892
2000000000,272,256,0,0,15455
2000000000,544,256,0,0,15095
2000000000,1088,256,0,0,14984
2000000000,2176,256,0,0,14981
2000000000,4352,256,0,0,15067
2000000000,8704,256,0,0,15189
2000000000,17408,256,0,0,15469
2000000000,34816,256,0,0,15986
2000000000,69632,256,0,0,16707
2000000000,139264,256,0,0,17427
2000000000,278528,256,0,0,18846
2000000000,557056,256,0,0,28307
2000000000,1114112,256,0,0,49142
2000000000,2228224,256,0,0,89847
2000000000,4456448,256,0,0,170359
2000000000,136,512,0,0,14920
2000000000,272,512,0,0,14686
2000000000,544,512,0,0,14637
2000000000,1088,512,0,0,14653
2000000000,2176,512,0,0,14739
2000000000,4352,512,0,0,14903
2000000000,8704,512,0,0,15151
2000000000,17408,512,0,0,15664
2000000000,34816,512,0,0,16380
2000000000,69632,512,0,0,17180
2000000000,139264,512,0,0,18724
2000000000,278528,512,0,0,27570
2000000000,557056,512,0,0,48134
2000000000,1114112,512,0,0,88984
2000000000,2228224,512,0,0,169284
2000000000,68,1024,0,0,14791
2000000000,136,1024,0,0,14798
2000000000,272,1024,0,0,14800
2000000000,544,1024,0,0,14823
2000000000,1088,1024,0,0,14904
2000000000,2176,1024,0,0,15043
2000000000,4352,1024,0,0,15289
2000000000,8704,1024,0,0,15769
2000000000,17408,1024,0,0,16464
2000000000,34816,1024,0,0,17279
2000000000,69632,1024,0,0,18855
2000000000,139264,1024,0,0,26579
2000000000,278528,1024,0,0,46745
2000000000,557056,1024,0,0,86959
2000000000,1114112,1024,0,0,165862
4000000000,1088,64,0,0,42479
4000000000,2176,64,0,0,38618
4000000000,4352,64,0,0,36496
4000000000,8704,64,0,0,35286
4000000000,17408,64,0,0,34468
4000000000,34816,64,0,0,34322
4000000000,69632,64,0,0,34404
4000000000,139264,64,0,0,34621
4000000000,278528,64,0,0,34705
4000000000,557056,64,0,0,35447
4000000000,1114112,64,0,0,36789
4000000000,2228224,64,0,0,40250
4000000000,4456448,64,0,0,64076
4000000000,8912896,64,0,0,107934
4000000000,17825792,64,0,0,191893
4000000000,35651584,64,0,0,352396
4000000000,544,128,0,0,34326
4000000000,1088,128,0,0,33004
4000000000,2176,128,0,0,32094
4000000000,4352,128,0,0,31521
4000000000,8704,128,0,0,31207
4000000000,17408,128,0,0,31046
4000000000,34816,128,0,0,31193
4000000000,69632,128,0,0,31715
4000000000,139264,128,0,0,32687
4000000000,278528,128,0,0,33940
4000000000,557056,128,0,0,35388
4000000000,1114112,128,0,0,38211
4000000000,2228224,128,0,0,60862
4000000000,4456448,128,0,0,103263
4000000000,8912896,128,0,0,185500
4000000000,17825792,128,0,0,345829
4000000000,272,256,0,0,31273
4000000000,544,256,0,0,30254
4000000000,1088,256,0,0,29873
4000000000,2176,256,0,0,29757
4000000000,4352,256,0,0,29823
4000000000,8704,256,0,0,29913
4000000000,17408,256,0,0,30132
4000000000,34816,256,0,0,30754
4000000000,69632,256,0,0,31829
4000000000,139264,256,0,0,33232
4000000000,278528,256,0,0,34657
4000000000,557056,256,0,0,37539
4000000000,1114112,256,0,0,56569
4000000000,2228224,256,0,0,98242
4000000000,4456448,256,0,0,179827
4000000000,8912896,256,0,0,340773
4000000000,136,512,0,0,29863
4000000000,272,512,0,0,29299
4000000000,544,512,0,0,29126
4000000000,1088,512,0,0,29125
4000000000,2176,512,0,0,29191
4000000000,4352,512,0,0,29346
4000000000,8704,512,0,0,29557
4000000000,17408,512,0,0,30105
4000000000,34816,512,0,0,31189
4000000000,69632,512,0,0,32587
4000000000,139264,512,0,0,34142
4000000000,278528,512,0,0,37166
4000000000,557056,512,0,0,55058
4000000000,1114112,512,0,0,96198
4000000000,2228224,512,0,0,178037
4000000000,4456448,512,0,0,338615
4000000000,68,1024,0,0,29411
4000000000,136,1024,0,0,29372
4000000000,272,1024,0,0,29438
4000000000,544,1024,0,0,29462
4000000000,1088,1024,0,0,29546
4000000000,2176,1024,0,0,29676
4000000000,4352,1024,0,0,29908
4000000000,8704,1024,0,0,30393
4000000000,17408,1024,0,0,31392
4000000000,34816,1024,0,0,32724
4000000000,69632,1024,0,0,34410
4000000000,139264,1024,0,0,37535
4000000000,278528,1024,0,0,53078
4000000000,557056,1024,0,0,93441
4000000000,1114112,1024,0,0,173851
4000000000,2228224,1024,0,0,331871
